,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_from_name,year,season,country_from_name,league_to_name,country_to_name
167,IFK Göteborg,Kabba Samura,22.0,Attack,Assyriska FF,free transfer,out,Summer,0.0,Allsvenskan,2004,2004/2005,Sweden,Allsvenskan,Sweden
168,IFK Göteborg,Martin Ericsson,23.0,Central Midfield,Aalborg BK,?,out,Summer,,Allsvenskan,2004,2004/2005,Sweden,Superligaen,Denmark
171,Halmstads BK,Martin Fribrock,19.0,Left Midfield,Helsingborgs IF,?,in,Summer,,Allsvenskan,2004,2004/2005,Sweden,Allsvenskan,Sweden
174,Djurgårdens IF,Sören Larsen,22.0,Centre-Forward,BK Frem,€900k,in,Summer,0.9,Allsvenskan,2004,2004/2005,Sweden,Superligaen,Denmark
181,Djurgårdens IF,Geert den Ouden,27.0,Centre-Forward,ADO Den Haag,€50k,out,Summer,0.05,Allsvenskan,2004,2004/2005,Sweden,Eredivisie,Netherlands
182,Djurgårdens IF,Babis Stefanidis,23.0,Right Winger,Bröndby IF,free transfer,out,Summer,0.0,Allsvenskan,2004,2004/2005,Sweden,Superligaen,Denmark
183,Djurgårdens IF,Aziz Corr-Nyang,19.0,Right Winger,Åtvidabergs FF,free transfer,out,Summer,0.0,Allsvenskan,2004,2004/2005,Sweden,Allsvenskan,Sweden
185,Hammarby IF,Petter Furuseth,26.0,Centre-Forward,Örebro SK,free transfer,in,Summer,0.0,Allsvenskan,2004,2004/2005,Sweden,Allsvenskan,Sweden
186,Hammarby IF,Hamed Diallo,27.0,Centre-Forward,Angers SCO,?,in,Summer,,Allsvenskan,2004,2004/2005,Sweden,Ligue 1,France
188,Hammarby IF,Jonas Stark,32.0,Centre-Back,BK Frem,"End of loanJun 30, 2004",in,Summer,,Allsvenskan,2004,2004/2005,Sweden,Superligaen,Denmark
190,Hammarby IF,Johan Andersson,29.0,Centre-Back,GIF Sundsvall,?,out,Summer,,Allsvenskan,2004,2004/2005,Sweden,Allsvenskan,Sweden
197,BK Häcken,Mats Haglund,28.0,Centre-Forward,Åtvidabergs FF,?,in,Summer,,Allsvenskan,2004,2004/2005,Sweden,Allsvenskan,Sweden
209,Landskrona BoIS,André Schei Lindbæk,26.0,Centre-Forward,UD Las Palmas,free transfer,in,Summer,0.0,Allsvenskan,2004,2004/2005,Sweden,Primera Division,Spain
222,Assyriska FF,Kabba Samura,22.0,Attack,IFK Göteborg,free transfer,in,Summer,0.0,Allsvenskan,2004,2004/2005,Sweden,Allsvenskan,Sweden
223,Gefle IF,Joakim Karlsson,23.0,Defence,Östers IF,?,in,Summer,,Allsvenskan,2004,2004/2005,Sweden,Allsvenskan,Sweden
226,Malmö FF,Lee Baxter,28.0,Goalkeeper,IFK Göteborg,free transfer,in,Winter,0.0,Allsvenskan,2004,2004/2005,Sweden,Allsvenskan,Sweden
233,Malmö FF,Markus Rosenberg,22.0,Centre-Forward,Halmstads BK,"End of loanDec 31, 2004",in,Winter,,Allsvenskan,2004,2004/2005,Sweden,Allsvenskan,Sweden
237,Malmö FF,Darko Lukanovic,20.0,Centre-Forward,Assyriska FF,free transfer,out,Winter,0.0,Allsvenskan,2004,2004/2005,Sweden,Allsvenskan,Sweden
241,Helsingborgs IF,Atiba Hutchinson,21.0,Defensive Midfield,Östers IF,€1.50m,in,Winter,1.5,Allsvenskan,2004,2004/2005,Sweden,Allsvenskan,Sweden
242,Helsingborgs IF,Daniel Andersson,32.0,Goalkeeper,Hibernian FC,free transfer,in,Winter,0.0,Allsvenskan,2004,2004/2005,Sweden,Scottish Premiership,Scotland
248,Helsingborgs IF,Marcus Lindberg,24.0,Centre-Back,Mjällby AIF,free transfer,out,Winter,0.0,Allsvenskan,2004,2004/2005,Sweden,Allsvenskan,Sweden
249,Helsingborgs IF,Tobias Ehrenstrale,22.0,Midfield,Mjällby AIF,free transfer,out,Winter,0.0,Allsvenskan,2004,2004/2005,Sweden,Allsvenskan,Sweden
250,Helsingborgs IF,John Pelu,22.0,Centre-Forward,Östers IF,free transfer,out,Winter,0.0,Allsvenskan,2004,2004/2005,Sweden,Allsvenskan,Sweden
251,Helsingborgs IF,Jesper Jansson,33.0,Midfield,Stabæk Fotball,?,out,Winter,,Allsvenskan,2004,2004/2005,Sweden,Eliteserien,Norway
252,Helsingborgs IF,Christian Söderberg,20.0,Left-Back,GIF Sundsvall,?,out,Winter,,Allsvenskan,2004,2004/2005,Sweden,Allsvenskan,Sweden
254,Helsingborgs IF,Mattias Lindström,24.0,Right Midfield,Aalborg BK,?,out,Winter,,Allsvenskan,2004,2004/2005,Sweden,Superligaen,Denmark
259,IFK Göteborg,John Alvbage,22.0,Goalkeeper,Örebro SK,free transfer,in,Winter,0.0,Allsvenskan,2004,2004/2005,Sweden,Allsvenskan,Sweden
274,IFK Göteborg,Lee Baxter,28.0,Goalkeeper,Malmö FF,free transfer,out,Winter,0.0,Allsvenskan,2004,2004/2005,Sweden,Allsvenskan,Sweden
283,Halmstads BK,Markus Rosenberg,22.0,Centre-Forward,Malmö FF,"End of loanDec 31, 2004",out,Winter,,Allsvenskan,2004,2004/2005,Sweden,Allsvenskan,Sweden
288,Djurgårdens IF,Samuel Wowoah,28.0,Left-Back,Stabæk Fotball,"End of loanDec 31, 2004",in,Winter,,Allsvenskan,2004,2004/2005,Sweden,Eliteserien,Norway
292,Djurgårdens IF,Christoffer Karlsson,16.0,Central Midfield,Åtvidabergs FF,Loan fee:€575k,out,Winter,0.575,Allsvenskan,2004,2004/2005,Sweden,Allsvenskan,Sweden
296,Djurgårdens IF,Yannick Bapupa,22.0,Right Midfield,Åtvidabergs FF,free transfer,out,Winter,0.0,Allsvenskan,2004,2004/2005,Sweden,Allsvenskan,Sweden
299,Djurgårdens IF,Tomas Backman,24.0,Left Midfield,GIF Sundsvall,loan transfer,out,Winter,,Allsvenskan,2004,2004/2005,Sweden,Allsvenskan,Sweden
301,Djurgårdens IF,Samuel Wowoah,28.0,Left-Back,IFK Göteborg,?,out,Winter,,Allsvenskan,2004,2004/2005,Sweden,Allsvenskan,Sweden
302,Djurgårdens IF,Elias Storm,25.0,Centre-Back,GIF Sundsvall,loan transfer,out,Winter,,Allsvenskan,2004,2004/2005,Sweden,Allsvenskan,Sweden
305,Hammarby IF,Jeffrey Aubynn,27.0,Central Midfield,Aarhus GF,free transfer,in,Winter,0.0,Allsvenskan,2004,2004/2005,Sweden,Superligaen,Denmark
313,IF Elfsborg,Daniel Mobaeck,24.0,Centre-Back,Kalmar FF,free transfer,in,Winter,0.0,Allsvenskan,2004,2004/2005,Sweden,Allsvenskan,Sweden
314,IF Elfsborg,Andreas Nilsson,27.0,Left-Back,IFK Göteborg,free transfer,in,Winter,0.0,Allsvenskan,2004,2004/2005,Sweden,Allsvenskan,Sweden
325,BK Häcken,Johnas Henriksson,28.0,Centre-Forward,IFK Göteborg,€44k,in,Winter,0.044,Allsvenskan,2004,2004/2005,Sweden,Allsvenskan,Sweden
327,BK Häcken,Patric Andersson,25.0,Centre-Forward,IFK Göteborg,free transfer,in,Winter,0.0,Allsvenskan,2004,2004/2005,Sweden,Allsvenskan,Sweden
328,BK Häcken,Stig Töfting,35.0,Defensive Midfield,Aarhus GF,free transfer,in,Winter,0.0,Allsvenskan,2004,2004/2005,Sweden,Superligaen,Denmark
330,BK Häcken,Magnus Erlingmark,36.0,Defensive Midfield,IFK Göteborg,?,in,Winter,,Allsvenskan,2004,2004/2005,Sweden,Allsvenskan,Sweden
334,BK Häcken,Ronnie Thygesen,21.0,Defence,Lyngby BK,free transfer,out,Winter,0.0,Allsvenskan,2004,2004/2005,Sweden,Superligaen,Denmark
346,Örgryte IS,Tryggvi Gudmundsson,30.0,Centre-Forward,Stoke City,free transfer,out,Winter,0.0,Allsvenskan,2004,2004/2005,Sweden,Premier League,England
352,Landskrona BoIS,Gustaf Andersson,25.0,Defence,Örebro SK,free transfer,in,Winter,0.0,Allsvenskan,2004,2004/2005,Sweden,Allsvenskan,Sweden
355,Landskrona BoIS,Jon Jönsson,21.0,Centre-Back,Malmö FF,loan transfer,in,Winter,,Allsvenskan,2004,2004/2005,Sweden,Allsvenskan,Sweden
366,Landskrona BoIS,Gabriel Ucar,22.0,Left-Back,Assyriska FF,?,out,Winter,,Allsvenskan,2004,2004/2005,Sweden,Allsvenskan,Sweden
371,GIF Sundsvall,Christian Söderberg,20.0,Left-Back,Helsingborgs IF,?,in,Winter,,Allsvenskan,2004,2004/2005,Sweden,Allsvenskan,Sweden
374,GIF Sundsvall,Joel Cedergren,30.0,Right Midfield,Sogndal IL,?,out,Winter,,Allsvenskan,2004,2004/2005,Sweden,Eliteserien,Norway
376,Kalmar FF,Daniel Petersson,28.0,Right-Back,Östers IF,free transfer,in,Winter,0.0,Allsvenskan,2004,2004/2005,Sweden,Allsvenskan,Sweden
379,Kalmar FF,Shpetim Hasani,22.0,Centre-Forward,Sakaryaspor,free transfer,in,Winter,0.0,Allsvenskan,2004,2004/2005,Sweden,Super Lig,Turkey
395,Assyriska FF,Darko Lukanovic,20.0,Centre-Forward,Malmö FF,free transfer,in,Winter,0.0,Allsvenskan,2004,2004/2005,Sweden,Allsvenskan,Sweden
396,Assyriska FF,Kaspars Gorkss,23.0,Centre-Back,Östers IF,free transfer,in,Winter,0.0,Allsvenskan,2004,2004/2005,Sweden,Allsvenskan,Sweden
406,AIK Solna,Nicklas Carlsson,25.0,Centre-Back,Aarhus GF,?,in,Summer,,Allsvenskan,2005,2005/2006,Sweden,Superligaen,Denmark
408,AIK Solna,Joen Averstad,27.0,Centre-Back,AFC Eskilstuna,?,in,Summer,,Allsvenskan,2005,2005/2006,Sweden,Allsvenskan,Sweden
411,AIK Solna,Martin Aslund,28.0,Attacking Midfield,Viborg FF,free transfer,out,Summer,0.0,Allsvenskan,2005,2005/2006,Sweden,Superligaen,Denmark
414,Malmö FF,Jesper Bech,23.0,Central Midfield,FC Copenhagen,€1.00m,in,Summer,1.0,Allsvenskan,2005,2005/2006,Sweden,Superligaen,Denmark
424,Helsingborgs IF,Peter Christiansen,30.0,Left-Back,FC Copenhagen,€350k,in,Summer,0.35,Allsvenskan,2005,2005/2006,Sweden,Superligaen,Denmark
425,Helsingborgs IF,Babis Stefanidis,24.0,Right Winger,Bröndby IF,€130k,in,Summer,0.13,Allsvenskan,2005,2005/2006,Sweden,Superligaen,Denmark
432,IFK Göteborg,Martin Ulander,29.0,Right Midfield,Aarhus GF,?,in,Summer,,Allsvenskan,2005,2005/2006,Sweden,Superligaen,Denmark
434,IFK Göteborg,Peter Ijeh,28.0,Centre-Forward,FC Copenhagen,free transfer,out,Summer,0.0,Allsvenskan,2005,2005/2006,Sweden,Superligaen,Denmark
435,IFK Göteborg,John Alvbage,22.0,Goalkeeper,Viborg FF,free transfer,out,Summer,0.0,Allsvenskan,2005,2005/2006,Sweden,Superligaen,Denmark
436,IFK Göteborg,Sebastian Johansson,24.0,Central Midfield,Malatyaspor,free transfer,out,Summer,0.0,Allsvenskan,2005,2005/2006,Sweden,Super Lig,Turkey
447,Djurgårdens IF,Sören Larsen,23.0,Centre-Forward,FC Schalke 04,€2.30m,out,Summer,2.3,Allsvenskan,2005,2005/2006,Sweden,1 Bundesliga,Germany
469,Gefle IF,Patrik Bojent,24.0,Left-Back,Östers IF,free transfer,in,Summer,0.0,Allsvenskan,2005,2005/2006,Sweden,Allsvenskan,Sweden
475,AIK Solna,Daniel Arnefjord,26.0,Centre-Back,AFC Eskilstuna,free transfer,in,Winter,0.0,Allsvenskan,2005,2005/2006,Sweden,Allsvenskan,Sweden
480,AIK Solna,Markus Jonsson,24.0,Centre-Back,Östers IF,?,in,Winter,,Allsvenskan,2005,2005/2006,Sweden,Allsvenskan,Sweden
484,AIK Solna,Ali Gerba,24.0,Centre-Forward,IFK Göteborg,€370k,out,Winter,0.37,Allsvenskan,2005,2005/2006,Sweden,Allsvenskan,Sweden
485,AIK Solna,Göran Marklund,30.0,Right Winger,Assyriska FF,free transfer,out,Winter,0.0,Allsvenskan,2005,2005/2006,Sweden,Allsvenskan,Sweden
486,AIK Solna,Arash Talebinejad Tivell,24.0,Right Winger,Tromsø IL,free transfer,out,Winter,0.0,Allsvenskan,2005,2005/2006,Sweden,Eliteserien,Norway
489,AIK Solna,Daniel Hoch,26.0,Centre-Forward,Aalborg BK,free transfer,out,Winter,0.0,Allsvenskan,2005,2005/2006,Sweden,Superligaen,Denmark
492,AIK Solna,Robert Ahman-Persson,18.0,Defensive Midfield,AFC Eskilstuna,loan transfer,out,Winter,,Allsvenskan,2005,2005/2006,Sweden,Allsvenskan,Sweden
493,AIK Solna,Andreas Eriksson,24.0,Right Winger,AFC Eskilstuna,?,out,Winter,,Allsvenskan,2005,2005/2006,Sweden,Allsvenskan,Sweden
494,AIK Solna,Per Karlsson,20.0,Centre-Back,AFC Eskilstuna,loan transfer,out,Winter,,Allsvenskan,2005,2005/2006,Sweden,Allsvenskan,Sweden
498,Malmö FF,Raoul Kouakou,25.0,Centre-Back,Sogndal IL,free transfer,in,Winter,0.0,Allsvenskan,2005,2005/2006,Sweden,Eliteserien,Norway
510,Malmö FF,Joseph Elanga,26.0,Left-Back,Bröndby IF,€700k,out,Winter,0.7,Allsvenskan,2005,2005/2006,Sweden,Superligaen,Denmark
512,Malmö FF,Thomas Olsson,29.0,Central Midfield,IFK Göteborg,free transfer,out,Winter,0.0,Allsvenskan,2005,2005/2006,Sweden,Allsvenskan,Sweden
515,Malmö FF,Alexander Malmström,20.0,Left Midfield,Mjällby AIF,?,out,Winter,,Allsvenskan,2005,2005/2006,Sweden,Allsvenskan,Sweden
518,Malmö FF,Peter Abelsson,28.0,Centre-Back,Viking FK,?,out,Winter,,Allsvenskan,2005,2005/2006,Sweden,Eliteserien,Norway
521,Malmö FF,Johan Nilsson Guiomar,20.0,Centre-Back,Mjällby AIF,loan transfer,out,Winter,,Allsvenskan,2005,2005/2006,Sweden,Allsvenskan,Sweden
527,Helsingborgs IF,Atiba Hutchinson,22.0,Defensive Midfield,FC Copenhagen,€1.50m,out,Winter,1.5,Allsvenskan,2005,2005/2006,Sweden,Superligaen,Denmark
528,Helsingborgs IF,Peter Graulund,29.0,Centre-Forward,Aarhus GF,€300k,out,Winter,0.3,Allsvenskan,2005,2005/2006,Sweden,Superligaen,Denmark
535,IFK Göteborg,Jonas Wallerstedt,27.0,Centre-Forward,GIF Sundsvall,€50k,in,Winter,0.05,Allsvenskan,2005,2005/2006,Sweden,Allsvenskan,Sweden
536,IFK Göteborg,Thomas Olsson,29.0,Central Midfield,Malmö FF,free transfer,in,Winter,0.0,Allsvenskan,2005,2005/2006,Sweden,Allsvenskan,Sweden
543,IFK Göteborg,Erkan Saglik,20.0,Centre-Back,GIF Sundsvall,free transfer,out,Winter,0.0,Allsvenskan,2005,2005/2006,Sweden,Allsvenskan,Sweden
551,Halmstads BK,Emra Tahirovic,18.0,Centre-Forward,Örebro SK,?,in,Winter,,Allsvenskan,2005,2005/2006,Sweden,Allsvenskan,Sweden
553,Halmstads BK,Yaw Preko,31.0,Centre-Forward,Ettifaq FC,free transfer,out,Winter,0.0,Allsvenskan,2005,2005/2006,Sweden,Saudi Professional League,Saudi Arabia
560,Djurgårdens IF,Stefan Batan,20.0,Left-Back,Assyriska FF,€350k,in,Winter,0.35,Allsvenskan,2005,2005/2006,Sweden,Allsvenskan,Sweden
562,Djurgårdens IF,Robert Stoltz,29.0,Left-Back,Kalmar FF,free transfer,in,Winter,0.0,Allsvenskan,2005,2005/2006,Sweden,Allsvenskan,Sweden
564,Djurgårdens IF,Elias Storm,26.0,Centre-Back,GIF Sundsvall,"End of loanDec 31, 2005",in,Winter,,Allsvenskan,2005,2005/2006,Sweden,Allsvenskan,Sweden
565,Djurgårdens IF,Tomas Backman,25.0,Left Midfield,GIF Sundsvall,"End of loanDec 31, 2005",in,Winter,,Allsvenskan,2005,2005/2006,Sweden,Allsvenskan,Sweden
570,Djurgårdens IF,Patrick Amoah,19.0,Centre-Back,Assyriska FF,loan transfer,out,Winter,,Allsvenskan,2005,2005/2006,Sweden,Allsvenskan,Sweden
571,Djurgårdens IF,Eldin Kozica,21.0,Centre-Back,AFC Eskilstuna,loan transfer,out,Winter,,Allsvenskan,2005,2005/2006,Sweden,Allsvenskan,Sweden
573,Djurgårdens IF,Tomas Backman,25.0,Left Midfield,Östers IF,loan transfer,out,Winter,,Allsvenskan,2005,2005/2006,Sweden,Allsvenskan,Sweden
