,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_from_name,year,season,country_from_name,league_to_name,country_to_name
327,Rosenborg BK,Kristian Sörli,19.0,Right-Back,Strindheim IL,?,in,Winter,,Eliteserien,1995,1995/1996,Norway,Eliteserien,Norway
329,Rosenborg BK,Steinar Sörlie,20.0,Goalkeeper,Strindheim IL,loan transfer,out,Winter,,Eliteserien,1995,1995/1996,Norway,Eliteserien,Norway
337,Viking FK,Rune Medalen,25.0,Attack,Sogndal IL,?,out,Winter,,Eliteserien,1995,1995/1996,Norway,Eliteserien,Norway
343,IK Start,Petter Belsvik,28.0,Centre-Forward,Southend United,"End of loanDec 1, 1995",in,Winter,,Eliteserien,1995,1995/1996,Norway,Championship,England
345,IK Start,Petter Belsvik,28.0,Centre-Forward,Stabæk Fotball,?,out,Winter,,Eliteserien,1995,1995/1996,Norway,Eliteserien,Norway
349,IK Start,Petter Belsvik,28.0,Centre-Forward,Southend United,loan transfer,out,Winter,,Eliteserien,1995,1995/1996,Norway,Championship,England
352,Lillestrøm SK,Rune Stakkeland,22.0,Midfield,Bryne FK,?,in,Winter,,Eliteserien,1995,1995/1996,Norway,Eliteserien,Norway
363,Kongsvinger IL,Vidar Evensen,24.0,Defence,Strindheim IL,?,in,Winter,,Eliteserien,1995,1995/1996,Norway,Eliteserien,Norway
370,Kongsvinger IL,Caleb Francis,27.0,Midfield,Bryne FK,free transfer,out,Winter,0.0,Eliteserien,1995,1995/1996,Norway,Eliteserien,Norway
374,FK Bodø/Glimt,Petter Solli,29.0,Left-Back,Moss FK,?,out,Winter,,Eliteserien,1995,1995/1996,Norway,Eliteserien,Norway
378,Molde FK,Kjetil Pedersen,22.0,Centre-Back,Odd Grenland,?,in,Winter,,Eliteserien,1995,1995/1996,Norway,Eliteserien,Norway
380,Molde FK,Tarje Nordstrand Jacobsen,21.0,Midfield,IL Hödd,?,out,Winter,,Eliteserien,1995,1995/1996,Norway,Eliteserien,Norway
382,SK Brann,Tore André Flo,22.0,Centre-Forward,Tromsø IL,free transfer,in,Winter,0.0,Eliteserien,1995,1995/1996,Norway,Eliteserien,Norway
383,SK Brann,Morten Pedersen,23.0,Left-Back,Tromsø IL,?,in,Winter,,Eliteserien,1995,1995/1996,Norway,Eliteserien,Norway
385,SK Brann,Claus Eftevaag,26.0,Right-Back,IK Start,?,in,Winter,,Eliteserien,1995,1995/1996,Norway,Eliteserien,Norway
391,Stabæk Fotball,Petter Belsvik,28.0,Centre-Forward,IK Start,?,in,Winter,,Eliteserien,1995,1995/1996,Norway,Eliteserien,Norway
398,Tromsø IL,Ole Martin Arst,21.0,Centre-Forward,Sogndal IL,"End of loanDec 31, 1995",in,Winter,,Eliteserien,1995,1995/1996,Norway,Eliteserien,Norway
401,Tromsø IL,Svein Are Andreassen,27.0,Attack,Sogndal IL,?,out,Winter,,Eliteserien,1995,1995/1996,Norway,Eliteserien,Norway
404,Strømsgodset IF,Vegard Hansen,26.0,Centre-Back,Bristol City,?,in,Winter,,Eliteserien,1995,1995/1996,Norway,Championship,England
406,Strømsgodset IF,Marcus Ziegler,22.0,Attack,VfB Stuttgart,loan transfer,in,Winter,,Eliteserien,1995,1995/1996,Norway,1 Bundesliga,Germany
409,Moss FK,Tommy Sylte,24.0,Midfield,IL Hödd,?,in,Winter,,Eliteserien,1995,1995/1996,Norway,Eliteserien,Norway
410,Moss FK,Rune Buer Johansen,22.0,Central Midfield,Sogndal IL,?,in,Winter,,Eliteserien,1995,1995/1996,Norway,Eliteserien,Norway
418,Lyn 1896 FK,Thomas Wæhler,22.0,Centre-Back,Lyngby BK,loan transfer,out,Summer,,Eliteserien,1996,1996/1997,Norway,Superligaen,Denmark
423,Viking FK,Thomas Pereira,23.0,Left-Back,Moss FK,?,in,Summer,,Eliteserien,1996,1996/1997,Norway,Eliteserien,Norway
424,Viking FK,Erik Stock,25.0,Left-Back,NEC Nijmegen,?,in,Summer,,Eliteserien,1996,1996/1997,Norway,Eredivisie,Netherlands
429,Lillestrøm SK,Tom Gulbrandsen,32.0,Defensive Midfield,SV Ried,loan transfer,out,Summer,,Eliteserien,1996,1996/1997,Norway,Bundesliga,Austria
430,Kongsvinger IL,Vidar Riseth,24.0,Centre-Back,LASK,free transfer,out,Summer,0.0,Eliteserien,1996,1996/1997,Norway,Bundesliga,Austria
431,FK Bodø/Glimt,Tom Kare Staurvik,27.0,Defensive Midfield,NAC Breda,?,in,Summer,,Eliteserien,1996,1996/1997,Norway,Eredivisie,Netherlands
432,Molde FK,Andreas Lund,21.0,Centre-Forward,IK Start,?,in,Summer,,Eliteserien,1996,1996/1997,Norway,Eliteserien,Norway
437,Tromsø IL,Frode Fermann,21.0,Midfield,Cercle Brugge,?,out,Summer,,Eliteserien,1996,1996/1997,Norway,Juliper Pro League,Belgium
438,Sogndal IL,Rune Buer Johansen,22.0,Central Midfield,Moss FK,?,in,Summer,,Eliteserien,1996,1996/1997,Norway,Eliteserien,Norway
442,Strømsgodset IF,Marcus Ziegler,22.0,Attack,VfB Stuttgart,"End of loanJun 30, 1996",out,Summer,,Eliteserien,1996,1996/1997,Norway,1 Bundesliga,Germany
449,Rosenborg BK,Sigurd Rushfeldt,24.0,Centre-Forward,Tromsø IL,€800k,in,Winter,0.8,Eliteserien,1996,1996/1997,Norway,Eliteserien,Norway
457,Rosenborg BK,Steinar Sörlie,21.0,Goalkeeper,Strindheim IL,"End of loanDec 31, 1996",in,Winter,,Eliteserien,1996,1996/1997,Norway,Eliteserien,Norway
460,Rosenborg BK,Kalle Löken,30.0,Right-Back,Stabæk Fotball,?,out,Winter,,Eliteserien,1996,1996/1997,Norway,Eliteserien,Norway
462,Rosenborg BK,Tom Kare Staurvik,26.0,Defensive Midfield,NAC Breda,?,out,Winter,,Eliteserien,1996,1996/1997,Norway,Eredivisie,Netherlands
463,Rosenborg BK,Thomas André Ödegaard,25.0,Goalkeeper,Viking FK,?,out,Winter,,Eliteserien,1996,1996/1997,Norway,Eliteserien,Norway
464,Viking FK,Martin Andresen,19.0,Central Midfield,Moss FK,?,in,Winter,,Eliteserien,1996,1996/1997,Norway,Eliteserien,Norway
468,Viking FK,Bengt Saeternes,22.0,Centre-Forward,Odd Grenland,?,out,Winter,,Eliteserien,1996,1996/1997,Norway,Eliteserien,Norway
469,Viking FK,Kenneth Storvik,24.0,Left Midfield,Helsingborgs IF,?,out,Winter,,Eliteserien,1996,1996/1997,Norway,Allsvenskan,Sweden
479,Lillestrøm SK,Arild Sundgot,18.0,Centre-Forward,IL Hödd,?,in,Winter,,Eliteserien,1996,1996/1997,Norway,Eliteserien,Norway
