club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,country
IFK Göteborg,Hjálmar Jónsson,21,Centre-Back,Keflavík,free transfer,in,Winter,0,Allsvenskan,2001,2001/2002,Sweden
IFK Göteborg,Peter Eriksson,32,Right Midfield,Häcken,?,in,Winter,NA,Allsvenskan,2001,2001/2002,Sweden
IFK Göteborg,Pontus Kamark,32,Centre-Back,AIK,?,in,Winter,NA,Allsvenskan,2001,2001/2002,Sweden
IFK Göteborg,Johnas Henriksson,25,Centre-Forward,Häcken,?,in,Winter,NA,Allsvenskan,2001,2001/2002,Sweden
IFK Göteborg,Dennis Jonsson,18,Centre-Back,IFK U19,-,in,Winter,NA,Allsvenskan,2001,2001/2002,Sweden
IFK Göteborg,Robert Vilahamn (Karlsson),18,Centre-Forward,IFK U19,-,in,Winter,NA,Allsvenskan,2001,2001/2002,Sweden
IFK Göteborg,Steinar Pedersen,26,Right-Back,IK Start,€300k,out,Winter,0.3,Allsvenskan,2001,2001/2002,Sweden
Helsingborgs IF,Reinaldo,21,Centre-Forward,Atlético-MG,free transfer,in,Winter,0,Allsvenskan,2001,2001/2002,Sweden
Helsingborgs IF,Eldin Karisik,18,Central Midfield,Helsingborg U21,-,in,Winter,NA,Allsvenskan,2001,2001/2002,Sweden
Helsingborgs IF,Marcus Ekenberg,21,Centre-Forward,Mjällby AIF,"End of loanDec 1, 2001",in,Winter,NA,Allsvenskan,2001,2001/2002,Sweden
Helsingborgs IF,Mats Wejsfelt,21,Centre-Back,IFK Göteborg,free transfer,out,Winter,0,Allsvenskan,2001,2001/2002,Sweden
Helsingborgs IF,Björn Johansen,32,Central Midfield,Tromsø IL,?,out,Winter,NA,Allsvenskan,2001,2001/2002,Sweden
Helsingborgs IF,Sven Andersson,38,Goalkeeper,Retired,,out,Winter,NA,Allsvenskan,2001,2001/2002,Sweden
IF Elfsborg,Lasse Nilsson,19,Centre-Forward,Brage,?,in,Winter,NA,Allsvenskan,2001,2001/2002,Sweden
IF Elfsborg,Abbas Hassan,16,Goalkeeper,Arvidstorp,?,in,Winter,NA,Allsvenskan,2001,2001/2002,Sweden
IF Elfsborg,Bruno Fogaça,20,Centre-Forward,Paysandu SC,free transfer,out,Winter,0,Allsvenskan,2001,2001/2002,Sweden
IF Elfsborg,Christian Lundström,24,Centre-Forward,Halmstads BK,?,out,Winter,NA,Allsvenskan,2001,2001/2002,Sweden
Hammarby IF,Christian Traoré,19,Centre-Back,FC Copenhagen,loan transfer,in,Winter,NA,Allsvenskan,2001,2001/2002,Sweden
